micros,adc0,adc1
150000000,5.0000000000,0.0000000000
160000000,5.0000000000,0.4545454502
180000000,5.0000000000,0.8602150917
210000000,5.0000000000,1.4173997879
220000000,5.0000000000,2.0478982925
230000000,5.0000000000,2.5757575035
240000000,5.0000000000,3.1280546188
250000000,5.0000000000,3.6705768108
260000000,5.0000000000,4.1788854598
270000000,5.0000000000,4.7360701560
280000000,5.0000000000,5.0000000000
290000000,5.0000000000,4.7849464416
300000000,5.0000000000,4.2473115921
310000000,5.0000000000,3.7194526195
320000000,5.0000000000,3.1818182468
330000000,5.0000000000,2.6197457313
340000000,5.0000000000,2.0283479690
350000000,5.0000000000,1.5200390815
360000000,5.0000000000,0.9384163856
370000000,5.0000000000,0.4643206119
380000000,5.0000000000,0.0000000000
